row,merchant_id,merchant_name,segmentation
142,,,T20 (T3 - A2)
143,,,T20 (T3 - A1)
144,,,No
145,,,T20
146,,,T20
147,,,T20
148,,,T20 (T3 - A2)
149,,,T20
150,,,T20
151,,,T20
152,,,T20
153,,,T20
154,,,T20 (T3 - A1)
155,,,T20 (T3 - B1)
156,,,T20
157,,,T20 (T3 - C1)
158,,,T20 (T3 - C1)
159,,,T20 (T3 - A3)
160,,,T20 (T3 - C3)
161,,,T20 (T3 - B3)
162,,,T20 (T3 - C2)
163,,,T20 (T3 - A1)
164,,,T20 (T3 - C2)
165,,,T20 (T3 - C1)
166,,,T20
167,,,T20
168,,,T20
169,,,T20
170,,,T20
171,,,T20
172,,,T20 (T3 - B2)
173,,,T20
174,,,T20
175,,,T20
176,,,T20
177,,,T20 (T3 - B1)
178,,,T20 (T3 - A1)
179,,,No
180,,,T20 (T3 - C1)
181,,,T20
182,,,T20
183,,,T20 (T3 - B2)
184,,,T20 (T3 - B2)
185,,,T20
186,,,T20
187,,,T20
188,,,T20 (T3 - C1)
189,,,T20 (T3 - B2)
190,,,T20
191,,,T20
192,,,T20 (T3 - A2)
193,,,T20 (T3 - C1)
194,,,T20
195,,,T20 (T3 - A2)
196,,,T20 (T3 - C1)
197,,,T20
198,,,T20
199,,,T20 (T3 - A1)
200,,,T20
201,,,T20
202,,,T20
203,,,T20
204,,,T20
205,,,T20
206,,,T20
207,,,T20
208,,,T20
209,,,T20
210,,,T20
211,,,T20
212,,,T20 (T3 - B2)
213,,,T20
214,,,T20
215,,,T20
216,,,T20 (T3 - A1)
217,,,T20 (T3 - A3)
218,,,T20 (T3 - B2)
219,,,T20 (T3 - C2)
220,,,No
221,,,T20
222,,,T20 (T3 - B2)
223,,,T20
224,,,T20
225,,,T20 (T3 - A2)
226,,,T20
227,,,T20 (T3 - B1)
228,,,T20 (T3 - A3)
229,,,T20 (T3 - A2)
230,,,T20
231,,,T20
232,,,T20
233,,,T20
234,,,T20
235,,,T20
236,,,T20
237,,,T20
238,,,T20
239,,,T20
240,,,T20 (T3 - B3)
241,,,T20 (T3 - C2)
242,,,T20
243,,,T20
244,,,T20
245,,,T20
246,,,T20
247,,,T20 (T3 - B3)
248,,,No
249,,,No
250,,,T20
251,,,T20 (T3 - C2)
252,,,T20 (T3 - C1)
253,,,T20 (T3 - A1)
254,,,T20
