Category,September_2025,October_2025,Growth,Growth_Pct,Share_of_Total_Growth,Sep_Orders,Oct_Orders,Sep_GMV_MYR,Oct_GMV_MYR,Avg_Basket_Sep_MYR,Avg_Basket_Oct_MYR
Local (Malaysia Phone),1628789,1692429,63640,3.9%,89.8%,6951481,7460028,239910117.22,255944992.62,33.43,33.04
Foreign (Non-Malaysia Phone),123985,130296,6311,5.1%,8.9%,410082,445975,17483093.78,18633205.36,42.27,41.60


